id,chapter,section,claim,source_ids,evidence_type,access_limitations,confidence,baseline_units,locator
CL060,10-practical-design-atlas,natural-and-bio-based-materials,"A carbon comparison needs a boundary and a service life. Include production, transport, construction, maintenance, replacement and end of life as appropriate to the chosen method. Distinguish the carbon stored in a bio-based product from a complete life-cycle result. The IPCC assessment is useful for this broader perspective, but it does not supply a project-specific result.",R48,whole life carbon and sufficiency,assessment read selectively,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL061,10-practical-design-atlas,planting-on-roofs-and-walls,"A roof garden is a layered construction. It needs a structural basis for mature and saturated loads, waterproofing, root management, drainage, an overflow strategy, suitable substrate and safe access. NParks' catalogue of skyrise greenery guidance separates these topics, including irrigation, maintenance, loading and biodiversity. The documents are situated in Singapore and should not be treated as universal code.",R44,Singapore practice guidance; not universal code,guideline catalogue read,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL062,10-practical-design-atlas,water-and-the-site-beyond-the-building,"Trace rainfall from roof to final destination. The Environmental Protection Agency distinguishes approaches such as bioretention, permeable surfaces and green roofs. Their functions depend on soil, storage, drainage and the local system into which overflow is released. A feature called a rain garden needs more than planting and a depressed outline.",R46,stormwater mechanisms,agency page read,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL063,10-practical-design-atlas,habitat-glass-and-night-lighting,Glass and light can undermine otherwise careful planting. The Fish and Wildlife Service's toolkit identifies collision risks and offers guidance on visible treatments and reducing unnecessary nighttime illumination. A view desired by people and a reflection encountered by birds belong to the same facade design problem.,R47,glass and light hazards,agency guidance read,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL064,10-practical-design-atlas,operation-evaluation-and-stewardship,"Write the maintenance plan while the design can still change. Name the owner of each task, the access required, the likely replacement cycle and the consequence of failure. The Q'eswachaka example makes renewal visible as part of a living system; a contemporary building needs its own viable arrangements rather than a borrowed rhetoric of continuity.",R12,community nomination synthesis,indexed full description; direct page challenged,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL065,11-design-judgment,begin-with-relationships-already-present,"Second, preserve valuable existing systems where a credible comparison supports doing so. Grand Parc and Sesc Pompeia make transformation an architectural possibility. Retaining a building or a mature landscape can conserve value, but unsafe structures, contamination or incompatible use may require another response. Preservation should be tested seriously rather than assumed either impossible or automatically best.",R38 R27,authorship and chronology; design intent; internal date discrepancy retained,Portuguese institutional text; architect page read,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL066,11-design-judgment,match-the-claim-to-the-mechanism,"Fourth, distinguish resemblance from functional transfer. Sagrada Familia supports several readings at once, while Eastgate exposes the weakness of treating a biological story as proof of engineering. A natural analogy can generate an idea. The proposed mechanism still needs to be explained and tested. This principle leaves room for expressive form; it simply asks that expression be named as such when that is its purpose.",R19 R29,biological critique; geometry and light,author-uploaded paper read selectively; official PDF; pages 3-8 consulted,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL067,11-design-judgment,match-the-claim-to-the-mechanism,"Fifth, protect cultural meaning from unnecessary performance claims. The Nebamun painting and the gardens of different traditions show that symbolic and aesthetic relationships deserve careful interpretation. A natural motif does not need to promise energy savings. At the same time, a cultural explanation should be situated in its source community and history, not turned into a universal design code.",R50 R08,heritage synthesis; iconography and date,institutional page read; object notes read,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL068,11-design-judgment,match-the-claim-to-the-mechanism,"Sixth, keep evidence categories distinct. Intention, historical interpretation, observation, simulation and measured performance answer different questions. The hospital-view study and the indoor-plant review show why the method matters. A limited but accurately described finding is more useful than a broad claim whose basis has disappeared. Uncertainty should remain close to the statement it qualifies.",R31 R32,matched retrospective study; review and quantitative synthesis,abstract only,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL069,11-design-judgment,design-the-section-and-the-calendar,"Seventh, resolve the threshold as a real environmental arrangement. The Alhambra's gallery, Katsura's garden relationships and Grand Parc's winter gardens suggest different ways of occupying an edge. The principle applies where a threshold can serve the program and climate. It does not mean every building needs an atrium, court or veranda. The drawing should show enclosure, shade, drainage, access and control.",R06 R09 R38,design intent; internal date discrepancy retained; history and disputed reconstruction; history and site description,architect page read; institutional page read,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL070,11-design-judgment,design-the-section-and-the-calendar,"Eighth, transfer a precedent through climate and use rather than appearance. Gando's roof section and Lunuganga's garden relationships belong to particular conditions. A new site may need a different balance of openness, protection and mechanical support. The original precedent can guide the questions while the new project supplies the answers.",R33 R25,design intent and construction; site transformation and present access,architect page read; institutional page read,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL071,11-design-judgment,design-the-section-and-the-calendar,"Ninth, design through time. A day, a season, a plant's maturity and a replacement cycle can each change an architectural effect. The annual renewal of Q'eswachaka makes one temporal relationship explicit; every maintained building has others. This principle requires a viable caretaker and resource plan. It should never be used to excuse avoidable fragility or transfer an unreasonable workload to occupants.",R12,community nomination synthesis,indexed full description; direct page challenged,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL072,11-design-judgment,design-the-section-and-the-calendar,"Tenth, make failure and repair part of the design. Fallingwater's preservation and the technical demands of planted balconies show that a compelling effect may depend on difficult work. Ask how drains are inspected, plants replaced, joints repaired and controls overridden. The principle does not eliminate risk. It turns foreseeable problems into conditions that can be addressed while the design is still changeable.",R22 R37,authorship and maintenance; environmental claims not independent; conservation evidence,architect page read; institutional page read,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL073,11-design-judgment,judge-the-complete-consequence,"Eleventh, evaluate materials and living systems across an appropriate boundary. Biological origin, stored carbon or visible greenery is not a complete environmental result. A material's production and eventual replacement belong to its story. A living facade's water, energy and care belong to its story. The necessary depth of assessment depends on the consequence of the decision, but the boundary should always be stated.",R48 R40,pilot and developer-reported thermal outcome; whole life carbon and sufficiency,assessment read selectively; engineering team page read,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
